buyer_dea_no,buyer_state,buyer_county,lat,lon
BM9977349,NC,WAKE,35.8957546,-78.6592767
FS0180745,NC,WAKE,35.8853218,-78.6601378
FG4137899,NC,WAKE,35.8859616,-78.6602848
FC2522969,NC,WAKE,35.7245894,-78.6608524
BN5318399,VA,SHENANDOAH,38.6465136,-78.6725925
BC9667380,NC,HARNETT,35.4076233,-78.6730669
FW3876565,NC,HARNETT,35.4152716,-78.6734766
BC7789425,NC,HARNETT,35.413442,-78.673652
FW4251738,NC,WAKE,35.7776468,-78.6748866
AM1862615,NC,HARNETT,35.3277434,-78.6755065
FM1822231,NC,HARNETT,35.3277434,-78.6755065
FC2280799,NC,HARNETT,35.3203098,-78.6758614
BK5421057,NC,WAKE,35.7792798,-78.6761273
AR3065554,NC,HARNETT,35.3381557,-78.6761716
BE5298648,NC,WAKE,35.8883858,-78.6779884
BR5298648,NC,WAKE,35.8883858,-78.6779884
BK1712581,NC,WAKE,35.8719029,-78.6789727
BT7915234,NC,WAKE,35.8569423,-78.6797608
BK5358381,NC,WAKE,35.7441119,-78.6804557
FW3493068,NC,WAKE,35.8591983,-78.6812466
FH2864014,VA,CHARLOTTESVILLE CITY,38.0507649,-78.6819763
FH4730796,VA,CHARLOTTESVILLE CITY,38.0507649,-78.6819763
BE5298636,NC,WAKE,35.8585511,-78.6823755
BR5298636,NC,WAKE,35.8585511,-78.6823755
BK5457925,NC,WAKE,35.9017307,-78.6825345
FW4251663,NC,WAKE,35.9017216,-78.6825523
BK5004370,NC,WAKE,35.9005912,-78.6825966
FN1364227,NC,GRANVILLE,36.1220485,-78.6853963
FN0865987,NC,WAKE,35.9432067,-78.6857599
BK4355219,NC,WAKE,35.8024408,-78.6860526
BR4355219,NC,WAKE,35.8024408,-78.6860526
FW4600981,NC,GRANVILLE,36.1230325,-78.6861162
AC2578170,NC,GRANVILLE,36.1184539,-78.6863612
FW3664681,NC,CUMBERLAND,35.010144,-78.6881794
BJ1415492,NC,COLUMBUS,34.3388185,-78.6897079
BS4126048,NC,COLUMBUS,34.337841,-78.690265
AT9541055,NC,COLUMBUS,34.3393534,-78.6907005
BL3855066,NC,COLUMBUS,34.3378238,-78.6907491
BK4355372,NC,WAKE,35.8175001,-78.6926844
BR4355372,NC,WAKE,35.8175001,-78.6926844
FH4100892,NC,WAKE,35.9905,-78.693269
FH4563323,NC,WAKE,35.9905,-78.693269
BS0364125,NC,CUMBERLAND,35.0140455,-78.6939833
FW3965552,NC,WAKE,35.6662115,-78.6993439
BH9893947,NC,WAKE,35.6633829,-78.699344
FH4563082,NC,WAKE,35.6633829,-78.699344
BE9700130,NC,WAKE,35.6644113,-78.6995212
BR9700130,NC,WAKE,35.6644113,-78.6995212
BP6141220,VA,ALBEMARLE,38.0691846,-78.7002333
BK5574872,NC,WAKE,35.823738,-78.7007024
BR4401181,WV,HAMPSHIRE,39.3288898,-78.700963
BK6488527,NC,WAKE,35.7862718,-78.7010274
FK0444202,NC,WAKE,35.7862718,-78.7010274
BR5655230,NC,WAKE,35.8174047,-78.7029017
AH3206946,NC,COLUMBUS,34.3210529,-78.7035569
FG0142086,NC,COLUMBUS,34.3210529,-78.7035569
BK4355447,NC,WAKE,35.8258662,-78.7041225
BR4355447,NC,WAKE,35.8258662,-78.7041225
BM7178153,NC,COLUMBUS,34.328465,-78.7049401
BB6160585,NC,WAKE,35.8157965,-78.7057675
BT7811638,NC,WAKE,35.8157965,-78.7057675
FB0129595,NC,WAKE,35.8157965,-78.7057675
FC0129634,NC,WAKE,35.8157965,-78.7057675
BH9885332,NC,WAKE,35.8260501,-78.706994
FH4563094,NC,WAKE,35.8260501,-78.706994
BW5431375,NC,WAKE,35.8622238,-78.7070521
BR0434237,NC,COLUMBUS,34.340168,-78.707933
BW9785102,NC,COLUMBUS,34.3394616,-78.709267
FL4311673,WV,HAMPSHIRE,39.3307797,-78.7104851
FR0545268,WV,HAMPSHIRE,39.3307797,-78.7104851
FR4102783,NC,WAKE,35.8219249,-78.7105073
BC6284157,NC,WAKE,35.8628969,-78.7110913
FN1782641,NC,WAKE,35.8628969,-78.7110913
FW0732215,NC,WAKE,35.8623397,-78.7128006
BB8754411,NC,GRANVILLE,36.138481,-78.716079
BE8894277,NC,COLUMBUS,34.3040389,-78.7174616
BR8894277,NC,COLUMBUS,34.3040389,-78.7174616
BT5416436,NC,WAKE,35.8705975,-78.7201235
BK4355081,NC,GRANVILLE,36.1442584,-78.722391
BR4355081,NC,GRANVILLE,36.1442584,-78.722391
BW5431111,NC,COLUMBUS,34.3029613,-78.7247697
BH8509258,NC,WAKE,35.9091748,-78.7255631
FH4563070,NC,WAKE,35.9091748,-78.7255631
AC5031389,NC,BLADEN,34.658478,-78.7266
BK4355459,NC,WAKE,35.9082986,-78.7275157
BR4355459,NC,WAKE,35.9082986,-78.7275157
FN0531930,NC,WAKE,35.908916,-78.7291544
FR3665568,NC,WAKE,35.8006808,-78.7315586
BE9321085,WV,HARDY,39.048003,-78.736332
BE5298650,NC,WAKE,35.7460967,-78.7368785
BR5298650,NC,WAKE,35.7460967,-78.7368785
BT7700772,NC,WAKE,35.7576899,-78.7376467
FN0045218,NC,WAKE,35.7452592,-78.7400929
BK5421069,NC,WAKE,35.7673174,-78.7404863
FW4251702,NC,WAKE,35.7673174,-78.7404863
BA7028269,NC,HARNETT,35.5108963,-78.741045
FA2062076,NC,HARNETT,35.5108963,-78.741045
AC6445527,NC,HARNETT,35.408901,-78.741395
FW4251346,NC,HARNETT,35.5077258,-78.7416871
BK5358379,NC,HARNETT,35.5077125,-78.7416895
FW0636855,NC,WAKE,35.746302,-78.7422185
FH0700282,NC,WAKE,35.7470723,-78.7433017
FH4559956,NC,WAKE,35.7470723,-78.7433017
FE1783047,WV,HARDY,39.0408063,-78.7469016
FA1510797,NC,HARNETT,35.5399295,-78.7484549
FF2439570,NC,CUMBERLAND,35.035651,-78.7500119
AR6319924,WV,HAMPSHIRE,39.3421693,-78.7584688
BS6627965,WV,HAMPSHIRE,39.342173,-78.758476
AQ6337782,NC,GRANVILLE,36.134035,-78.759023
FQ1204623,NC,GRANVILLE,36.134035,-78.759023
FH2958582,NC,WAKE,35.8232738,-78.7650109
FH4892510,NC,WAKE,35.7751584,-78.7651541
FA4237132,NC,WAKE,35.7449442,-78.7658013
BQ8544517,NC,WAKE,35.7757926,-78.7676235
BS0512271,WV,MINERAL,39.5035119,-78.7680302
FB3584299,WV,MINERAL,39.505553,-78.7715448
BW8294326,NC,WAKE,35.5932843,-78.7733526
BK4355093,NC,WAKE,35.590355,-78.7746278
BR4355093,NC,WAKE,35.590355,-78.7746278
BT6455857,NC,WAKE,35.7381177,-78.7754324
BK7864677,NC,WAKE,35.5955984,-78.7756586
BT4659578,VA,ROCKINGHAM,38.632456,-78.7761772
BK4355005,NC,WAKE,35.7374772,-78.7772839
BR4355005,NC,WAKE,35.7374772,-78.7772839
BW8526571,NC,WAKE,35.9124537,-78.7777265
BR1055979,VA,ROCKINGHAM,38.6298546,-78.7785676
FW4643880,NC,WAKE,35.7374919,-78.7792316
BH8239558,NC,WAKE,35.8053858,-78.7803447
FH4559920,NC,WAKE,35.8053858,-78.7803447
BH6101074,NC,WAKE,35.7351573,-78.7803825
FH4559918,NC,WAKE,35.7351573,-78.7803825
BE5296745,NC,WAKE,35.7713126,-78.7806481
BR5296745,NC,WAKE,35.7713126,-78.7806481
AR8939021,NC,WAKE,35.7689843,-78.7812269
BW7648895,NC,WAKE,35.5947759,-78.7812678
AA3197666,NC,WAKE,35.787158,-78.7813589
BP9035115,NC,WAKE,35.5877502,-78.7814891
FC0679223,NC,WAKE,35.5877502,-78.7814891
FR4323933,NC,WAKE,35.5877502,-78.7814891
BK4355029,NC,WAKE,35.8032244,-78.7821414
BR4355029,NC,WAKE,35.8032244,-78.7821414
BW5431527,NC,WAKE,35.7367747,-78.7826615
BK6488490,NC,WAKE,35.773524,-78.7835695
FK0444353,NC,WAKE,35.773524,-78.7835695
FW0353540,NC,WAKE,35.7643898,-78.7841791
BW8931099,NC,WAKE,35.8028903,-78.7847646
FW3843732,NC,WAKE,35.8016032,-78.7851631
BT8369337,NC,WAKE,35.9025736,-78.7852709
BT9436848,NC,WAKE,35.909886,-78.78591
FL0131108,NC,WAKE,35.9099617,-78.785979
FE1842978,NC,CUMBERLAND,35.0933962,-78.7868007
BK5358329,NC,WAKE,35.5910855,-78.7874807
FW4251459,NC,WAKE,35.5910855,-78.7874807
AT2853744,NC,BLADEN,34.5389048,-78.787531
BR2811417,NC,WAKE,35.7171778,-78.7885033
FT1057163,NC,WAKE,35.7308263,-78.7889696
FN1078179,NC,DURHAM,35.9769422,-78.7920346
FB1732963,NC,WAKE,35.9002189,-78.7928317
BR0883442,NC,WAKE,35.59185,-78.7937054
BW8120165,NC,WAKE,35.7039787,-78.7937307
BH9363021,NC,WAKE,35.6665519,-78.7965534
FH4562092,NC,WAKE,35.6665519,-78.7965534
FW1197575,NC,WAKE,35.6661998,-78.7985738
BH8570601,NC,WAKE,35.6682076,-78.7986894
FN1782867,NC,WAKE,35.6682076,-78.7986894
BB0572873,VA,ROCKINGHAM,38.606099,-78.7987066
BE1929124,NC,WAKE,35.5828358,-78.800013
BC8422987,NC,BLADEN,34.7638371,-78.801243
FC3934420,NC,HARNETT,35.4219719,-78.8023661
FR2862919,NC,WAKE,35.6051019,-78.8034198
FM2956033,NC,HARNETT,35.4179479,-78.8035629
FW2938302,NC,WAKE,35.9019753,-78.8036011
FR4937528,NC,HARNETT,35.4190683,-78.8067635
BU8132639,NC,WAKE,35.7329243,-78.8077346
BE5480518,NC,WAKE,35.7842414,-78.8093719
BR5480518,NC,WAKE,35.7842414,-78.8093719
FI3502108,NC,WAKE,35.8011862,-78.8105225
FC0489509,NC,WAKE,35.8395053,-78.8112747
FC1361841,NC,WAKE,35.8395053,-78.8112747
FW2463228,NC,WAKE,35.8395053,-78.8112747
BK4892534,NC,WAKE,35.7856088,-78.8120469
BO5736763,NC,WAKE,35.838618,-78.8122684
BN7959921,NC,WAKE,35.8080861,-78.8122925
FN1782817,NC,WAKE,35.8080861,-78.8122925
BN9860239,NC,WAKE,35.919721,-78.8126609
FC1404918,NC,WAKE,35.8986181,-78.8147263
BR1415896,NC,HARNETT,35.398151,-78.8156634
FT2844846,NC,WAKE,35.8054512,-78.8158356
FF3422603,NC,HARNETT,35.4245464,-78.815921
AG1764756,VA,ROCKINGHAM,38.26213,-78.818928
FS3268097,NC,WAKE,35.7940488,-78.8191959
BK4355031,NC,WAKE,35.7638233,-78.8206113
BR4355031,NC,WAKE,35.7638233,-78.8206113
BE5298042,NC,DURHAM,35.9825936,-78.822079
BR5298042,NC,DURHAM,35.9825936,-78.822079
BK5049374,NC,WAKE,35.7439521,-78.8221965
BW8697635,VA,ROCKINGHAM,38.269523,-78.825002
AS3204500,NC,COLUMBUS,34.3294182,-78.8252129
BM6404913,NC,WAKE,35.8502897,-78.8257881
BP7751515,VA,HARRISONBURG CITY,38.4073136,-78.8277707
BC4420357,NC,WAKE,35.8483181,-78.8280631
BK5369106,NC,COLUMBUS,34.3304577,-78.8281331
FW4251550,NC,COLUMBUS,34.3304577,-78.8281331
BM2558849,NC,HARNETT,35.4012316,-78.8289294
FH4631253,NC,HARNETT,35.4012316,-78.8289294
AA9760542,VA,APPOMATTOX,37.3627497,-78.8323311
BH8702474,VA,APPOMATTOX,37.3653444,-78.8334422
FW0527804,NC,WAKE,35.6368236,-78.8345803
BK4674936,NC,WAKE,35.6542739,-78.8348329
BR4674936,NC,WAKE,35.6542739,-78.8348329
BW8319596,NC,WAKE,35.6554122,-78.8351247
FM1631844,NC,HARNETT,35.395333,-78.8368066
FN1301477,NC,WAKE,35.6417315,-78.8389414
BC9536155,NC,WAKE,35.781256,-78.839628
FM0468985,VA,HARRISONBURG CITY,38.4233907,-78.8398755
BK1311226,VA,HARRISONBURG CITY,38.4325458,-78.8404183
FW1966704,VA,APPOMATTOX,37.3660484,-78.8412726
FU2722456,NC,DURHAM,35.8734027,-78.8416932
FS1378404,NC,WAKE,35.8665585,-78.8423654
FW1655490,NC,WAKE,35.7145593,-78.8428651
BT9467196,VA,HARRISONBURG CITY,38.4261291,-78.84329
BS3811610,VA,HARRISONBURG CITY,38.4276239,-78.843402
BU8924107,NC,DURHAM,35.9164586,-78.8434647
BW5431298,NC,DURHAM,36.0283418,-78.8437644
FP4869559,NC,WAKE,35.7931524,-78.8447231
AR4905379,VA,APPOMATTOX,37.3633713,-78.8447673
FW3838046,NC,WAKE,35.818102,-78.8450769
AK8239914,VA,HARRISONBURG CITY,38.431177,-78.8455193
FN1878822,NC,WAKE,35.7909611,-78.8464748
FM0489535,NC,WAKE,35.8169554,-78.8472823
FW1334820,NC,WAKE,35.8672786,-78.8472942
BC9826023,NC,CUMBERLAND,35.0351382,-78.8476426
FN0238546,NC,WAKE,35.8195969,-78.8484186
FW0650742,NC,WAKE,35.8207896,-78.8486158
BP9218151,VA,HARRISONBURG CITY,38.4245448,-78.8487485
BK4619017,NC,WAKE,35.7891879,-78.8490803
BR4619017,NC,WAKE,35.7891879,-78.8490803
BW9761102,NC,WAKE,35.7909177,-78.8496869
FP1348526,NC,WAKE,35.7320736,-78.8510708
BW5373787,VA,HARRISONBURG CITY,38.4335576,-78.851712
FT3695814,NC,WAKE,35.6609435,-78.8518891
BH9893959,NC,WAKE,35.7904038,-78.8522429
FH4559932,NC,WAKE,35.7904038,-78.8522429
BH1060184,VA,HARRISONBURG CITY,38.428139,-78.854899
BT9571060,NC,CUMBERLAND,34.9299898,-78.8564228
BC7503851,VA,HARRISONBURG CITY,38.4278961,-78.85702
AP2493194,VA,HARRISONBURG CITY,38.4411017,-78.8578664
BH9336795,NC,WAKE,35.8353492,-78.8585238
FH4563032,NC,WAKE,35.8353492,-78.8585238
BK5163681,NC,WAKE,35.7363399,-78.8622347
BR5163681,NC,WAKE,35.7363399,-78.8622347
BH9156298,NC,WAKE,35.737652,-78.8627847
FH4559639,NC,WAKE,35.737652,-78.8627847
BW9719393,NC,WAKE,35.7352607,-78.8635609
BK5369283,NC,COLUMBUS,34.1528641,-78.8653792
FW4252110,NC,COLUMBUS,34.1528641,-78.8653792
AW2493930,VA,HARRISONBURG CITY,38.4142167,-78.8659542
FA2974233,NC,WAKE,35.7404239,-78.8662303
AM5905318,NC,CUMBERLAND,35.0532996,-78.8665878
FT1766851,NC,CUMBERLAND,35.0532996,-78.8665878
BO5612812,VA,HARRISONBURG CITY,38.4737859,-78.868053
FV0548606,VA,HARRISONBURG CITY,38.417969,-78.8690942
BK9336810,NC,WAKE,35.7862977,-78.8695807
FW3473876,NC,WAKE,35.7862977,-78.8695807
BK5421122,NC,DURHAM,35.99255,-78.8698057
FW4251411,NC,DURHAM,35.99255,-78.8698057
BE9985702,NC,WAKE,35.7886124,-78.8700117
BR9985702,NC,WAKE,35.7886124,-78.8700117
BR5722954,VA,HARRISONBURG CITY,38.4682827,-78.8705978
FA0328179,VA,HARRISONBURG CITY,38.4822173,-78.871217
BC6932950,NC,WAKE,35.7867946,-78.8717477
FN1782588,NC,WAKE,35.7867946,-78.8717477
BT9629900,NC,CUMBERLAND,35.1565066,-78.8717919
BE5536911,VA,NELSON,37.7609629,-78.8719467
BR5536911,VA,NELSON,37.7609629,-78.8719467
BH5640417,NC,WAKE,35.7853565,-78.8730302
FH4559893,NC,WAKE,35.7853565,-78.8730302
AP6856225,VA,HARRISONBURG CITY,38.457081,-78.8738606
BS1651214,VA,NELSON,37.8902283,-78.8742242
FS2924810,VA,NELSON,37.8902283,-78.8742242
FW2909743,NC,WAKE,35.7601044,-78.874976
BR0170996,NC,CUMBERLAND,35.0575765,-78.8757278
FW1719977,NC,CUMBERLAND,35.0563732,-78.8760373
BT2891895,NC,COLUMBUS,34.1468843,-78.876966
AD1172523,NC,COLUMBUS,34.148555,-78.877031
BM8746604,NC,COLUMBUS,34.1471264,-78.8770323
BT7510630,NC,COLUMBUS,34.147024,-78.877105
BE9042033,NC,CUMBERLAND,35.0581857,-78.877454
BR9042033,NC,CUMBERLAND,35.0581857,-78.877454
BW7369259,NC,CUMBERLAND,35.1042679,-78.8778062
BT7399074,NC,WAKE,35.7443681,-78.8778551
AR8604642,NC,CUMBERLAND,35.1072992,-78.8781973
BE5621392,NC,CUMBERLAND,35.1043661,-78.8788675
BR5621392,NC,CUMBERLAND,35.1043661,-78.8788675
FC1229598,NC,CUMBERLAND,35.1217697,-78.8802383
AD3500534,VA,HARRISONBURG CITY,38.4329962,-78.8817284
BM3991406,NC,CUMBERLAND,35.0779598,-78.8818966
BS9492529,NC,CUMBERLAND,35.1165517,-78.8830242
BW5431109,NC,CUMBERLAND,35.1235292,-78.883201
FC1403613,NC,CUMBERLAND,35.0547512,-78.8863926
FH4562129,NC,WAKE,35.8436277,-78.8877113
AK7517608,VA,WAYNESBORO CITY,38.0661182,-78.888153
FC3346310,NC,CUMBERLAND,35.0537545,-78.8897057
FH1410050,NC,DURHAM,35.894578,-78.8901293
FH3719323,NC,DURHAM,35.894578,-78.8901293
BR3555084,VA,HARRISONBURG CITY,38.4366722,-78.8901401
FT4369244,NC,WAKE,35.845703,-78.891014
FJ4923377,NC,DURHAM,36.0348131,-78.8927297
BD6155940,NC,DURHAM,36.0488898,-78.8935406
BD9927178,NC,DURHAM,36.0488898,-78.8935406
BK4355271,NC,DURHAM,35.9011295,-78.8941225
BM3791731,NC,CUMBERLAND,35.0699794,-78.8941225
BR2559649,NC,DURHAM,35.8890141,-78.8948439
FN1782881,NC,DURHAM,35.8890141,-78.8948439
FW1683627,NC,DURHAM,35.9018224,-78.894947
AM3196967,NC,CUMBERLAND,35.0301589,-78.8956654
FM1490604,NC,CUMBERLAND,35.0301589,-78.8956654
AN3201578,NC,CUMBERLAND,35.0560036,-78.8961785
BT0800878,VA,WAYNESBORO CITY,38.073323,-78.89651
AP3511006,VA,WAYNESBORO CITY,38.0726784,-78.8965984
FC2723434,NC,DURHAM,36.0447546,-78.8973943
FF2735667,VA,HALIFAX,36.6863146,-78.8974385
FS0722276,NC,DURHAM,35.97601,-78.898373
BA9522877,NC,CUMBERLAND,35.0766115,-78.8985659
BK5990951,NC,DURHAM,35.9859939,-78.8993099
FW4251461,NC,DURHAM,35.9859939,-78.8993099
BR4555821,NC,DURHAM,36.0395573,-78.8997272
BM2968280,NC,CUMBERLAND,35.056679,-78.900047
FN0887060,NC,WAKE,35.8220915,-78.9004449
FH0618150,NC,WAKE,35.8211903,-78.9007101
FH4559944,NC,WAKE,35.8211903,-78.9007101
BG9466182,NC,DURHAM,35.9954571,-78.9009643
FV2000127,NC,DURHAM,35.9954571,-78.9009643
BK5421110,NC,DURHAM,36.0425004,-78.9013724
FW4251435,NC,DURHAM,36.0425004,-78.9013724
BG6160648,NC,DURHAM,35.9958567,-78.9024343
BM9333131,NC,DURHAM,35.99582,-78.902457
BR5613193,VA,WAYNESBORO CITY,38.0727781,-78.902788
AF2573815,VA,WAYNESBORO CITY,38.0692099,-78.9032522
AT6519219,NC,DURHAM,35.9021415,-78.903628
AW7565077,NC,DURHAM,36.031542,-78.906113
AU3136074,NC,DURHAM,36.0686536,-78.9063069
BK4253477,NC,DURHAM,36.0693877,-78.9073131
BW6623361,VA,HARRISONBURG CITY,38.432412,-78.9101149
BW5373422,VA,HALIFAX,36.7347814,-78.911143
AR8139544,NC,DURHAM,36.0781818,-78.9111876
BW4063905,VA,AUGUSTA,38.2852842,-78.9113088
BK4355269,NC,DURHAM,36.0787265,-78.9116296
BR4355269,NC,DURHAM,36.0787265,-78.9116296
AB2486137,VA,AUGUSTA,38.2887242,-78.912626
BR2726808,VA,HALIFAX,36.7136925,-78.9134302
BC7022267,NC,DURHAM,36.028748,-78.914326
AC8696289,VA,HALIFAX,36.7112649,-78.914718
FW1701956,NC,DURHAM,35.905309,-78.9168758
AR7095258,NC,CUMBERLAND,35.0037286,-78.9172308
AR3063283,VA,HALIFAX,36.7347886,-78.9174204
FW0902999,VA,HALIFAX,36.734289,-78.9188619
BE5298004,NC,DURHAM,36.0242115,-78.9192264
BR5298004,NC,DURHAM,36.0242115,-78.9192264
BE5298054,NC,CUMBERLAND,35.0454332,-78.9195422
BR5298054,NC,CUMBERLAND,35.0454332,-78.9195422
BK5933672,NC,DURHAM,36.0298283,-78.9205146
AH6361834,VA,HALIFAX,36.7405897,-78.9211776
BH9509855,VA,HALIFAX,36.7405897,-78.9211776
BH9579939,NC,CUMBERLAND,35.044954,-78.9211805
FH0508943,NC,CUMBERLAND,35.044954,-78.9211805
FH3719335,NC,CUMBERLAND,35.044954,-78.9211805
BK8114958,NC,DURHAM,35.9491025,-78.9220647
BN9933551,NC,DURHAM,35.9478171,-78.9229015
BC8570283,NC,CUMBERLAND,35.0472277,-78.9233435
FH4226658,NC,DURHAM,36.0097789,-78.9243159
FH4561444,NC,DURHAM,36.0097789,-78.9243159
BW8285163,NC,DURHAM,36.0299779,-78.9243416
FW2870877,NC,DURHAM,35.9509641,-78.9251115
BE5548980,NC,DURHAM,35.9232424,-78.9278594
BR5548980,NC,DURHAM,35.9232424,-78.9278594
BK4220062,VA,WAYNESBORO CITY,38.0798978,-78.9282938
FE2614712,NC,COLUMBUS,34.330526,-78.928316
BK4355221,NC,DURHAM,36.0569711,-78.9284585
BR4355221,NC,DURHAM,36.0569711,-78.9284585
BF7566055,NC,DURHAM,36.0582691,-78.928471
BS3811608,VA,WAYNESBORO CITY,38.0826229,-78.9287274
BM9575272,VA,WAYNESBORO CITY,38.068136,-78.9290894
AR5220253,NC,CUMBERLAND,35.0753624,-78.9294872
BW8912710,NC,CUMBERLAND,35.0313734,-78.9297524
FW1970208,NC,DURHAM,36.0564634,-78.9297775
AB9066716,NC,CUMBERLAND,35.0296018,-78.930128
FH1151529,NC,DURHAM,36.0562863,-78.930779
FH4561432,NC,DURHAM,36.0562863,-78.930779
BC4204587,NC,CUMBERLAND,35.0336193,-78.9314208
AR5220330,NC,CUMBERLAND,35.0343783,-78.9326135
BC7235484,NC,CUMBERLAND,35.0323795,-78.9327441
BW8623969,VA,WAYNESBORO CITY,38.067959,-78.9332439
BM0322367,NC,CUMBERLAND,35.0367401,-78.9333544
BW7399098,NC,DURHAM,35.9114695,-78.9335087
BC9640144,NC,DURHAM,35.9137465,-78.9337738
BB7456470,VA,NELSON,37.7067865,-78.9340394
FF3479537,NC,CUMBERLAND,35.0353233,-78.9352769
AU5821904,NC,DURHAM,36.0043423,-78.9359336
FW4252184,NC,DURHAM,36.0322813,-78.9360417
BK5933684,NC,DURHAM,35.9126165,-78.9366912
BK5420877,NC,DURHAM,36.0318807,-78.9367959
AC9349336,NC,DURHAM,36.0298656,-78.9380777
FC4325672,NC,DURHAM,36.0298656,-78.9380777
FE4810265,NC,CUMBERLAND,35.0433,-78.9406321
FT0530685,VA,WAYNESBORO CITY,38.0563657,-78.941996
AB5411931,VA,CAMPBELL,37.0443355,-78.9431868
BC9111080,NC,CUMBERLAND,34.9661412,-78.9448226
FN1782932,NC,CUMBERLAND,34.9661412,-78.9448226
BE5298028,NC,DURHAM,36.019301,-78.9449591
BR5298028,NC,DURHAM,36.019301,-78.9449591
FB4424634,VA,CAMPBELL,37.0496469,-78.9453087
AR2940725,VA,CAMPBELL,37.0472406,-78.9457064
AC5836880,NC,CUMBERLAND,34.9710445,-78.9458499
BK6260056,NC,DURHAM,36.0195687,-78.947694
FW4251233,NC,DURHAM,36.0066491,-78.9479041
FH1665629,VA,ROCKINGHAM,38.4114894,-78.9492858
BK4355702,NC,CUMBERLAND,35.0677874,-78.9501254
BR4355702,NC,CUMBERLAND,35.0677874,-78.9501254
FC0480703,NC,PERSON,36.2866312,-78.9515788
FC2484804,NC,PERSON,36.2866312,-78.9515788
AK3011549,NC,DURHAM,35.967496,-78.952674
BR4762399,NC,DURHAM,36.0217277,-78.9534836
FN1782906,NC,DURHAM,36.0217277,-78.9534836
BS9465469,NC,CUMBERLAND,35.0853316,-78.9553271
BW5431072,NC,CUMBERLAND,35.0814465,-78.956196
BS8832479,NC,DURHAM,35.9666991,-78.9563824
BT9442675,NC,DURHAM,35.9025145,-78.956507
BT9294682,NC,DURHAM,35.9213248,-78.9567017
BW8038449,NC,CUMBERLAND,35.0790242,-78.9580195
BT8668177,NC,DURHAM,35.9660102,-78.958563
BW6173518,WV,HARDY,39.0848417,-78.9586975
FH0887111,NC,DURHAM,35.9186183,-78.9592423
FH4561420,NC,DURHAM,35.9186183,-78.9592423
BH7862887,NC,CUMBERLAND,34.9799054,-78.9593033
BH6083632,NC,DURHAM,35.9595928,-78.9594266
FH4561381,NC,DURHAM,35.9595928,-78.9594266
BK6488565,NC,DURHAM,35.9632464,-78.9596647
FK0443882,NC,DURHAM,35.9632464,-78.9596647
BC7019309,NC,DURHAM,35.9210167,-78.9597138
FN1782754,NC,DURHAM,35.9210167,-78.9597138
AR8539275,NC,DURHAM,35.9605596,-78.9599116
AR7780338,NC,CUMBERLAND,35.0425247,-78.9600231
BK4355257,NC,DURHAM,35.918051,-78.9621881
BR4355257,NC,DURHAM,35.918051,-78.9621881
BK6488767,NC,CUMBERLAND,35.06493,-78.964353
AR8443501,WV,HARDY,39.0748902,-78.9647948
BK4355740,NC,CUMBERLAND,34.9859657,-78.9648849
BR4355740,NC,CUMBERLAND,34.9859657,-78.9648849
BW7103548,NC,CUMBERLAND,34.9801754,-78.9652366
BW7998339,NC,CUMBERLAND,34.9861176,-78.9659964
FA2436182,NC,CUMBERLAND,35.256045,-78.9662866
BW5431173,NC,CUMBERLAND,35.1739932,-78.96665
BB5736218,VA,ROCKINGHAM,38.3881037,-78.9693233
BB3124980,VA,ROCKINGHAM,38.382407,-78.969737
FA3814957,NC,ROBESON,34.807124,-78.972645
FG2191699,NC,ROBESON,34.807124,-78.972645
FT4442694,NC,ROBESON,34.807124,-78.972645
FW1368287,NC,CUMBERLAND,35.1693928,-78.9729239
AS4733362,NC,ROBESON,34.806553,-78.9731798
BB1281396,NC,ROBESON,34.8067533,-78.973275
FJ1214369,WV,HARDY,39.0526376,-78.974144
FS4376047,WV,HARDY,39.0526376,-78.974144
BT4609181,NC,CUMBERLAND,35.0553387,-78.9751637
BD3727534,VA,ROCKINGHAM,38.382952,-78.975359
BK5369257,NC,ROBESON,34.806772,-78.9754432
FW4251992,NC,ROBESON,34.806772,-78.9754432
AR3191462,NC,PERSON,36.4072494,-78.9760605
BF7995965,NC,PERSON,36.4088979,-78.9771649
AC5545073,NC,PERSON,36.4031359,-78.9776508
BK7944716,WV,MINERAL,39.4394799,-78.9776508
BE5298713,NC,PERSON,36.3974124,-78.9825984
BR5298713,NC,PERSON,36.3974124,-78.9825984
FW4869369,NC,ROBESON,34.6359023,-78.9831727
BA4382850,VA,AUGUSTA,38.0869473,-78.9833052
AC3202570,NC,PERSON,36.3942284,-78.9833122
AO3165051,NC,PERSON,36.394076,-78.983454
BW5431135,NC,PERSON,36.3761554,-78.9843155
AR2045323,NC,CUMBERLAND,35.1811318,-78.9848071
FW4947149,NC,ROBESON,34.808645,-78.9857735
BK4355687,NC,CUMBERLAND,35.0427817,-78.9864856
BR4355687,NC,CUMBERLAND,35.0427817,-78.9864856
BK8964959,NC,DURHAM,35.9516386,-78.988562
BE6064288,NC,CUMBERLAND,35.078607,-78.9898426
BR6064288,NC,CUMBERLAND,35.078607,-78.9898426
FW3498791,NC,CUMBERLAND,35.0431049,-78.9900193
BR2599580,WV,MINERAL,39.428103,-78.990293
BB7375175,NC,CUMBERLAND,35.0805358,-78.9904996
BS9492581,NC,CUMBERLAND,35.0805358,-78.9904996
BK2173285,WV,MINERAL,39.4291848,-78.990635
FU3458761,VA,AUGUSTA,38.0908738,-78.9911677
